Day 2,,
Timeline,Flow,
8:00-9:00 AM,Arrival of Participants,
9:00-04:00 PM,Competitions ,
1:00-2:00 PM,Jummah Namaz ,
2:00-2:45 PM,,Cafeteria : Corporate Lunch [ Shift 1 ]
2:45-3:30 PM,,Cafeteria : Corporate Lunch [ Shift 2 ]
4:00-4:30 PM,Comp Result Submission by heads,
4:00-6:00 PM,Closing Ceremony,
,Social Event,
,Points Departure,
