Day 02,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Rooms,Competitons,Time,Competitons,Time_2
E1 E2 E3,Free,,,
,,,,
E4 E5 E6,Pseudowar,09:00 - 11:00,,
,,,,
A1 A2 A3,App Dev ,09:00 - 01:00,,
,,,,
,,,,
A4 A5 A6,Web Dev,09:00 - 01:00,,
,,,,
,,,,
A7,FREE,,,
B9,,,,
B10,,,,
B11,,,,
C12,,,,
C13,,,,
C14,CTF,All day,,
C15,,,,
C17,,,,
C16,,,,
C18,FREE,,,
C19,,,,
C21 C22,Hackathon,09:00 - 12:00,,
D22 D23,FREE,,,
,,,,
D24,,,,
D25 D26 D27 D28,CTF,09:00 - 12:30,,
,,,,
,,,,
,,,,
E29,FREE,,,
E30,,,,
E31,,,,
E32,,,,
E33,,,,
E34,,,,
E35,,,,
,,,,
Labs,,,,
Lab1,Competitive Programming,09:00 - 12:30,,
Lab2,,,,
Lab4,,,,
Lab5,AI Showdown,09:00 - 11:30,,
Lab6,AI Showdown,09:00 - 11:30,,
Lab10,,,Speed Debugging,02:00 - 04:00
Lab8,Chat Craft,09:00 - 12:00,CITD,02:00 - 04:00
Lab 3 (FYP),,,,
Lab 7,Blockchain Blitz,09:00 - 11:00,CITD,02:00 - 04:00
Lab11,Code Sprint,09:00 - 01:00,UI UX ,02:00 - 04:00
Lab12,Code Sprint,09:00 - 01:00,Speed Debugging,02:00 - 04:00
Lab 13,Code Sprint,09:00 - 01:00,UI/UX,02:00 - 04:00
MPI Lab,Speed Soldering,All Day,,
,,,,
Old BCR ,esports,,,
EE Conference Room,,,,
Basketball Court,Robotics Competitions,All day,,
New Building,Game Dev ,09:30 - 12:00,,
Masjid Ground,,,,
EE Ground,Food Stalls +Seating Area,,,
