Rooms,Competitions,Time,Day
Basketball Court,Robotics Competitions,All day,2
D24,Esports(FIFA),All Day,2
D25,CTF,09:00 - 12:30,2
D26,CTF,09:00 - 12:30,2
D27,CTF,09:00 - 12:30,2
D28,CTF,09:00 - 12:30,2
E29,App Dev ,09:00 – 12:00,2
E30,App Dev ,09:00 – 12:00,2
E31,Web Dev,09:00 – 12:30,2
E31,Web Dev,02:00 – 4:00,2
E32,Web Dev,09:00 – 12:30,2
E32,Web Dev,02:00 – 4:00,2
E4,Pseudowar,09:00 – 11:30,2
E5,Pseudowar,09:00 – 11:30,2
E6,Pseudowar,09:00 – 11:30,2
EE Ground,Food Stalls +Seating Area,All day,2
Lab 10,Code Sprint,9:00 – 12:30,2
Lab 13,Code Sprint,09:00 - 01:00,2
Lab 13,UI/UX,02:00 - 04:00,2
Lab 7,Blockchain Blitz,09:00 – 11:30,2
Lab1,Competitive Programming,09:00 - 12:30,2
Lab10,Speed Debugging,02:00 - 04:00,2
Lab11,Code Sprint,9:00 – 12:30,2
Lab12,UI UX ,02:00 - 04:00,2
Lab12,Code Sprint,9:00 – 12:30,2
Lab12,Speed Debugging,02:00 - 04:00,2
Lab2,Competitive Programming,09:00 - 12:30,2
Lab2,CITD,02:00 - 04:00,2
Lab4,Competitive Programming,09:00 - 12:30,2
Lab4,CITD,02:00 - 04:00,2
Lab5,Database Design,2:00 – 4:00,2
Lab5,AI Showdown,09:00 - 11:30,2
Lab6,Database Design,2:00 – 4:00,2
Lab6,AI Showdown,09:00 - 11:30,2
Lab8,Chat Craft,09:00 – 11:30,2
MPI Lab,Speed Soldering,All Day,2
New BCR,esports,All day,2
R11,Startup Showdown,All Day,2
R12,Startup Showdown,All Day,2
Reading Hall(E Floor),Game Dev ,09:30 - 12:00,2
S2,Hackathon,09:00 – 12:30,2
S2,Hackathon,02:00 – 04:00,2
A1,none,none,2
A2,none,none,2
A3,none,none,2
A4,none,none,2
A5,none,none,2
A6,none,none,2
A7,none,none,2
A8,none,none,2
B9,none,none,2
B10,none,none,2
B11,none,none,2
C12,none,none,2
C13,none,none,2
C14,none,none,2
C15,none,none,2
C16,none,none,2
C17,none,none,2
C18,none,none,2
C19,none,none,2
C20,none,none,2
C21,none,none,2
C22,none,none,2
D23,none,none,2
E33,none,none,2
E34,none,none,2
E35,none,none,2
